# From Threshold Level Values
# provided by Christine Springer
#
# Rel Spec Eff [S(lam)] accounts for
# biological sensitivity relative to 270 nm.
# 
# nm	J/m^2	Rel Spec Eff
200	16260	0.00185
205	16260	0.00185
210	10233	0.00293
215	4732	0.00634
220	2188	0.0137
225	1012	0.0297
230	468	0.0641
235	216	0.139
240	100	0.300
245	83	0.360
250	70	0.430
255	58	0.520
260	46	0.650
265	37	0.810
270	30	1.00
275	31	0.960
280	34	0.880
285	39	0.770
290	47	0.640
295	56	0.540
300	100	0.300
305	500	0.060
310	2000	0.015
315	10000	0.003
320	29000	0.0010
322	45000	0.00067
323	56000	0.00054
325	60000	0.00050
328	68000	0.00044
330	73000	0.00041
333	81000	0.00037
335	88000	0.00034
340	1.1e05	0.00028
345	1.3e05	0.00024
350	1.5e05	0.00020
355	1.9e05	0.00016
360	2.3e05	0.00013
365	2.7e05	0.00011
370	3.2e05	0.000093
375	3.9e05	0.000077
380	4.7e05	0.000064
385	5.7e05	0.000053
390	6.8e05	0.000044
395	8.3e05	0.000036
400	1.0e06	0.000030


