 mjd         year mo dy hr mi   obs_dist   sun_dist     phase  obs_open planet_ra planet_dec lun_phase   sun_sep  moon_sep
 60264.00000 2023 11 16  0  0 600381058. 7.4450E+08   2.87651   3.31799  2.436701   13.01276 147.38741 165.38632 132.86623
 60269.00000 2023 11 21  0  0 604200373. 7.4462E+08   3.94229   3.29106  2.396437   12.82930  82.66556 159.74669  62.54813
 60274.00000 2023 11 26  0  0 609100484. 7.4475E+08   4.96375   3.26247  2.359147   12.66139  17.58727 154.13606   8.92210
 60279.00000 2023 12  1  0  0 615026531. 7.4488E+08   5.93013   3.23280  2.325460   12.51229  43.36969 148.56839  74.83854
 60284.00000 2023 12  6  0  0 621920345. 7.4501E+08   6.83246   3.20256  2.295925   12.38487  98.03043 143.05328 135.13502
 60289.00000 2023 12 11  0  0 629716612. 7.4515E+08   7.66293   3.17225  2.271023   12.28175 154.95932 137.59972 162.05279
 60294.00000 2023 12 16  0  0 638338470. 7.4528E+08   8.41506   3.14229  2.251159   12.20512 139.75392 132.21672  92.21288
 60299.00000 2023 12 21  0  0 647696228. 7.4542E+08   9.08409   3.11310  2.236632   12.15654  74.07356 126.91252  21.13112
 60304.00000 2023 12 26  0  0 657697116. 7.4556E+08   9.66751   3.08511  2.227599   12.13673  12.85924 121.69159  46.45316
 60309.00000 2023 12 31  0  0 668253177. 7.4570E+08  10.16435   3.05865  2.224123   12.14584  45.10311 116.55481 108.54465
 60314.00000 2024  1  5  0  0 679278307. 7.4584E+08  10.57443   3.03394  2.226220   12.18379  99.27264 111.50209 167.84428
 60319.00000 2024  1 10  0  0 690685809. 7.4599E+08  10.89823   3.01115  2.233866   12.25023 159.30484 106.53378 126.40634
 60324.00000 2024  1 15  0  0 702385180. 7.4614E+08  11.13697   2.99036  2.246989   12.34448 131.53753 101.65112  53.36068
 60329.00000 2024  1 20  0  0 714282410. 7.4628E+08  11.29310   2.97166  2.265447   12.46538  66.97207  96.85515  16.51361
 60334.00000 2024  1 25  0  0 726291404. 7.4643E+08  11.37013   2.95513  2.289033   12.61136   9.72092  92.14395  79.60591
 60339.00000 2024  1 30  0  0 738336647. 7.4659E+08  11.37176   2.94072  2.317522   12.78076  46.37561  87.51352 138.96244
 60344.00000 2024  2  4  0  0 750346403. 7.4674E+08  11.30159   2.92837  2.350701   12.97198 101.72872  82.95994 160.60507
 60349.00000 2024  2  9  0  0 762248579. 7.4690E+08  11.16319   2.91795  2.388364   13.18341 165.66374  78.48028  91.87296
 60354.00000 2024  2 14  0  0 773970336. 7.4705E+08  10.96037   2.90936  2.430283   13.41330 123.57956  74.07313  17.81771
 60359.00000 2024  2 19  0  0 785442447. 7.4721E+08  10.69755   2.90250  2.476195   13.65965  61.60368  69.73714  48.94461
 60364.00000 2024  2 24  0  0 796606521. 7.4737E+08  10.37930   2.89726  2.525830   13.92043   6.79436  65.46865 108.88920
 60369.00000 2024  2 29  0  0 807412692. 7.4754E+08  10.00976   2.89348  2.578942   14.19381  48.42433  61.26288 167.11900
 60374.00000 2024  3  5  0  0 817813873. 7.4770E+08   9.59266   2.89098  2.635307   14.47808 106.43896  57.11529 130.16110
 60379.00000 2024  3 10  0  0 827761469. 7.4787E+08   9.13154   2.88958  2.694718   14.77161 173.98478  53.02248  58.36461
 60384.00000 2024  3 15  0  0 837205961. 7.4803E+08   8.63016   2.88916  2.756954   15.07266 116.58046  48.98289  14.92323
 60389.00000 2024  3 20  0  0 846106833. 7.4820E+08   8.09260   2.88961  2.821764   15.37941  57.63906  44.99466  77.52011
 60394.00000 2024  3 25  0  0 854433565. 7.4838E+08   7.52263   2.89079  2.888923   15.69019   3.41497  41.05414 135.79121
 60399.00000 2024  3 30  0  0 862159166. 7.4855E+08   6.92353   2.89252  2.958233   16.00356  52.34950  37.15689 164.07856
 60404.00000 2024  4  4  0  0 869257921. 7.4872E+08   6.29823   2.89467  3.029515   16.31819 113.80837  33.29852  99.15179
 60409.00000 2024  4  9  0  0 875701637. 7.4890E+08   5.64959   2.89709  3.102593   16.63280 176.62834  29.47588  26.21146
 60414.00000 2024  4 14  0  0 881462885. 7.4908E+08   4.98084   2.89973  3.177270   16.94598 110.90091  25.68760  43.55559
 60419.00000 2024  4 19  0  0 886525121. 7.4926E+08   4.29529   2.90250  3.253337   17.25641  54.54098  21.93191 103.51955
 60424.00000 2024  4 24  0  0 890878925. 7.4944E+08   3.59584   2.90528  3.330608   17.56294   1.69243  18.20553 161.73097
 60429.00000 2024  4 29  0  0 894515766. 7.4962E+08   2.88510   2.90796  3.408925   17.86460  58.74592  14.50472 135.40463
 60434.00000 2024  5  4  0  0 897425030. 7.4980E+08   2.16556   2.91045  3.488141   18.16053 123.27263  10.82643  67.36368
 60439.00000 2024  5  9  0  0 899594439. 7.4999E+08   1.44045   2.91270  3.568089   18.44982 167.87791   7.17137   6.23786
 60444.00000 2024  5 14  0  0 901016595. 7.5018E+08   0.71654   2.91469  3.648579   18.73149 106.53436   3.55759  69.92673
 60449.00000 2024  5 19  0  0 901693042. 7.5036E+08   0.15085   2.91639  3.729426   19.00476  51.68896   0.74795 128.36736
 60454.00000 2024  5 24  0  0 901629802. 7.5056E+08   0.77787   2.91771  3.810462   19.26897   6.46977   3.85679 169.95065
 60459.00000 2024  5 29  0  0 900832025. 7.5075E+08   1.49994   2.91861  3.891537   19.52362  67.51396   7.44694 104.90168
